Transaction-date|Name|Credit-Card|Amount
2019-12-23 19:13:55|Victor Richardson|528899 579342 7025|$83.21
2021-08-13 01:22:59|Noel H. Riggs|520 71004 81792 628|$4.21
2019-11-26 19:01:38|Barclay Lawson|5297271281550770|$49.89
2020-06-22 11:00:01|Graiden W. Frederick|5342 3397 5139 0160|$34.21
2020-10-22 13:40:38|Jack Q. Mccormick|5314867646842205|$98.58
2020-04-30 20:27:32|Pamela Dickerson|516393 2552679504|$16.30
2021-08-02 08:09:04|Akeem Holmes|558 50599 10995 636|$25.95
2021-03-31 09:39:03|Elizabeth L. Hensley|537999 6872879383|$66.32
2020-04-09 09:29:10|Harrison S. Melendez|535 63950 08386 990|$10.23
2021-03-12 07:04:04|Dora Gill|5288928878766975|$31.90
2020-10-12 23:42:27|Lucas S. Coleman|515 14449 35619 185|$94.99
2020-01-24 07:15:05|Dennis Rosa|528665 611113 0368|$17.54
2020-06-18 08:40:17|Ian Parker|517728 374041 4303|$13.44
2021-04-06 23:31:32|Vera M. Jones|545143 683309 2520|$44.33
2019-09-04 23:38:32|Ignacia Short|549594 958078 7900|$71.96
2021-01-07 23:20:04|Helen W. Hatfield|521904 145449 8296|$72.51
2020-05-01 18:01:23|Jade P. Compton|5237 8398 0580 8818|$27.01
2021-06-22 03:35:28|Brady K. Carlson|510462 470620 8585|$74.06
2020-06-02 08:02:54|Derek Ferrell|539 33429 67895 525|$20.97
2020-11-14 02:08:02|Craig F. Baird|533 71577 47089 143|$21.91
2021-03-26 16:10:55|Berk Forbes|553 19608 81318 564|$89.88
2021-07-17 01:43:33|Garrett K. Haley|5302108358018708|$21.18
2021-06-28 07:23:20|Chester Rosa|552 33374 43360 832|$58.97
2020-03-21 06:41:50|Stone X. Robertson|543738 3664253814|$32.28
2019-09-06 17:44:00|Dalton Hunt|535 83138 91009 320|$86.73
2020-05-27 10:49:32|Raphael Conley|531 25962 67456 134|$47.33
2020-02-18 04:23:09|Leah I. Guerra|550 20640 83853 802|$14.31
2020-12-12 12:53:05|Imelda Frazier|541247 0127825947|$29.41
2019-10-23 19:52:31|Cheryl R. Kirkland|545786 380209 2138|$69.24
2020-10-24 08:58:50|Thomas Gamble|510867 5102407375|$63.61
2020-09-15 23:10:56|Lance Howell|5551 9144 8103 9778|$57.18
2020-12-28 12:11:12|Fatima I. Hall|539959 635243 7946|$51.76
2020-02-16 22:46:49|Dean Lott|5374086030360099|$9.54
2020-08-12 07:22:30|Maris Y. Stevens|549 41523 74487 065|$72.15
2020-12-05 20:25:50|Lisandra R. Tate|525 18269 70797 133|$64.15
2021-08-22 05:08:00|Rhona O. Hunter|5159 2306 7465 5460|$75.90
2020-03-09 22:46:52|Azalia Marshall|530 26134 35299 544|$21.36
2020-04-01 00:02:29|Yetta R. Griffin|520966 786522 6876|$75.51
2020-01-24 04:49:55|Quyn Cooley|5146036330154764|$56.12
2020-05-25 15:04:49|Patience Sosa|5265949599235014|$83.98
2020-11-24 08:42:46|Timon W. Rivas|523544 541918 1162|$26.22
2020-09-04 16:51:24|Carly L. Trujillo|541525 821333 0212|$79.91
2020-04-20 07:13:15|Eagan Richards|5402121854758965|$60.19
2021-07-08 08:05:51|Roth Alford|519 31563 93466 376|$76.31
2021-05-26 23:21:52|Winifred Aguilar|527847 064393 2105|$52.08
2019-11-22 03:42:02|Kelsie Pruitt|531 34381 88304 110|$66.80
2021-08-18 14:52:42|Darryl L. Edwards|5479 6396 0405 6651|$66.50
2020-11-18 14:35:42|May Z. Church|5244125240479543|$51.29
2019-09-16 17:03:03|Caleb X. Kirby|550758 979375 0687|$82.72
2020-12-16 23:52:52|Elvis Sosa|530494 131151 6089|$64.94
2019-10-02 09:46:54|Justin Galloway|540808 3093286105|$63.45
2019-11-15 19:43:47|Venus T. Hampton|544 26594 84927 296|$24.47
2019-12-17 07:54:57|Quynn S. Mitchell|531024 696680 4968|$58.37
2020-04-15 15:30:34|Rajah T. Humphrey|528122 842252 1118|$73.74
2020-07-03 04:56:02|Baker Tyson|514351 7136348737|$18.87
2020-04-01 11:37:26|Belle H. Silva|537095 0217366316|$13.65
2021-03-03 13:09:29|Reece O. Roy|5186832300670685|$34.63
2020-05-02 17:27:00|Jorden W. Colon|529072 262866 4523|$33.75
2020-06-08 14:56:27|Kaye Burton|5111 3162 5172 2471|$76.09
2020-10-19 11:31:24|Palmer Stein|555498 867799 1023|$48.16
2019-12-20 14:40:38|Melodie Forbes|517154 843943 2089|$92.34
2020-08-19 23:19:01|Lois Hickman|5582 1014 0181 0222|$15.82
2020-01-09 06:31:09|Elizabeth Riggs|5114 3392 5930 9718|$77.07
2021-05-06 22:47:16|Stuart Q. Zamora|5364 5936 6839 7485|$39.35
2019-09-07 00:03:00|Kirsten Kemp|515077 2623973360|$93.07
2020-11-05 10:57:49|Alvin Duffy|5330 6879 7398 9050|$5.05
2021-08-14 11:18:30|Shad Carpenter|522599 5867193897|$80.11
2019-10-06 03:10:15|Reuben Williamson|5517812151790584|$94.61
2021-07-03 17:30:13|Walter Mcbride|528003 6428588457|$62.10
2020-06-15 07:31:27|Ariel Stuart|519670 2293510610|$35.71
2020-07-12 09:24:25|Noble H. Pitts|545 81187 22053 093|$0.18
2021-04-22 21:50:06|Madeson I. Talley|530 32929 15307 165|$74.79
2021-02-14 10:38:54|Desiree Palmer|528820 8523096023|$82.59
2021-01-17 23:03:15|Justin E. Wells|5171 5457 2936 9500|$31.38
2021-02-27 09:27:54|Aurelia J. Mccormick|523005 4009590421|$71.66
2020-03-13 04:37:56|Phillip F. Gutierrez|512 69561 89788 517|$55.94
2020-07-30 00:57:27|Jack Q. Barr|5293 7095 4376 0467|$61.00
2019-11-17 08:21:57|Timon Roberson|5575 5963 7395 9841|$48.77
2020-01-02 06:56:45|Evelyn Estes|542595 7478145250|$26.29
2021-08-19 21:51:16|Illana I. Robles|516 45140 66437 154|$51.89
