Transaction-date|Name|Credit-Card|Amount
2021-08-14 14:19:21|Peter G. Holloway|519243 549110 9232|$34.58
2019-10-17 10:57:15|Dieter Gibson|556722 0305473710|$43.71
2021-01-18 18:20:10|Gil Q. Serrano|523546 2872526031|$43.38
2021-07-18 13:57:43|Bree T. Chandler|529518 0772506039|$43.37
2020-12-04 17:14:17|Tyrone Y. Hines|534 24665 18935 159|$85.98
2021-06-27 22:28:11|Ima H. Larsen|513 12056 89089 932|$72.74
2021-07-01 16:21:03|Amela Watkins|5279670708876779|$53.97
2020-06-23 14:05:26|Buckminster H. Allen|545740 2360081678|$83.51
2019-10-06 16:56:30|Aquila F. Bowen|515 22404 23783 858|$86.57
2019-10-18 21:28:39|Jessamine Mckinney|5541955383521119|$17.78
2020-09-27 00:59:58|Rae Z. Larson|554 85561 33085 273|$71.94
2020-03-17 10:44:11|Linda Rich|5234647147199637|$80.03
2020-06-10 11:53:02|Evelyn V. Mathis|541764 997487 5296|$46.47
2020-05-04 20:28:56|Zelenia Fowler|545534 984465 5944|$15.08
2019-11-07 02:49:42|Minerva T. Merritt|531219 3106814960|$50.47
2020-08-13 17:30:54|George J. William|5404 7117 2496 2470|$15.13
2021-07-10 15:52:16|Amal Gonzales|536 05757 09081 024|$43.97
2020-11-20 17:22:14|Oprah Mack|5243868254560135|$10.75
2019-09-27 13:22:00|Sydnee Rivers|5218 2092 5300 8068|$32.21
2020-05-27 22:38:26|Georgia T. Hogan|5371 0833 0743 1193|$57.57
2020-10-16 16:20:03|Xena Mcdonald|5232 6774 8068 0317|$12.47
2020-11-04 00:17:29|Basil K. Goff|5390552017594562|$35.18
2021-01-16 08:46:48|Pascale Dodson|558 44459 18466 756|$93.53
2021-03-09 22:06:19|Kyle I. Guy|551227 4165111262|$60.18
2020-09-17 06:25:45|Justina T. Sellers|551244 984622 7014|$5.18
2020-09-22 15:14:45|Keaton Tran|550613 035713 8604|$70.37
2019-09-04 04:14:21|Donovan S. Wyatt|512 49502 91349 641|$49.66
2020-09-06 18:55:11|Conan C. Lancaster|5288 3822 9831 8837|$69.60
2021-01-13 09:58:15|Kiayada Marshall|519 93163 61461 239|$55.86
2021-01-14 18:44:57|Emma Barr|531325 681604 0512|$4.45
2020-06-25 07:49:28|Oliver L. Henderson|535 87409 29677 647|$76.64
2020-09-04 11:15:17|Marah Lucas|5273 7823 1493 0217|$6.96
2020-06-01 03:08:17|Uta C. Fleming|5588867679708504|$92.15
2021-02-05 21:40:23|Jael Dudley|5251 8993 5810 7381|$74.90
2020-04-24 16:49:50|Samuel O. Munoz|5309892680464515|$6.22
2021-03-27 10:52:38|Chancellor Ayala|5197811349766446|$3.58
2020-04-05 12:39:30|Carly I. Foreman|529639 0736608644|$43.16
2020-12-03 03:32:37|Chaim C. Strong|5355 8289 0771 0416|$25.07
2020-07-22 06:11:28|Patrick G. Spence|558144 1724954179|$95.68
2020-09-13 03:17:17|Kirestin O. Ballard|519 16384 42892 126|$85.58
2020-08-28 23:27:59|Oscar J. Knox|5486134679457233|$90.73
2020-09-17 12:15:34|Rooney Salas|556915 5890375649|$80.91
2020-01-17 18:26:45|Tyrone Y. Orr|520173 958884 5866|$23.54
2020-10-07 05:05:01|Carl K. Horn|537780 915200 6761|$97.21
2020-07-08 06:18:22|Kane Mueller|544 42614 21255 176|$7.79
2019-09-22 09:15:19|Rhoda Burns|551775 3230337429|$54.72
2020-09-03 11:41:01|Belle Williamson|547632 587699 5056|$36.71
2020-12-06 12:26:43|Raymond S. Valenzuela|5286575793581229|$56.77
2021-01-21 11:49:45|Raja Glass|5329437666591372|$94.63
2019-10-26 23:53:31|Kirk O. Melton|532651 999590 2728|$19.19
2021-03-13 01:06:27|Moana K. Bishop|5205857890592582|$26.76
2019-09-24 13:55:44|Melvin L. Mccullough|5306076498067263|$57.11
2020-08-27 18:14:48|Gay M. Conley|511 82887 07164 785|$74.87
2020-07-18 09:57:54|Solomon C. Saunders|5195 0162 2964 2533|$83.49
2020-06-16 10:32:59|Karly N. Sharpe|529937 2913859007|$20.84
2021-07-04 19:46:29|Karly B. Britt|541 04325 16766 258|$83.81
2021-08-13 11:02:21|Naomi Sharp|5507 3248 4029 1844|$13.28
