Transaction-date|Name|Credit-Card|Amount
2021-01-15 08:19:50|Wade Ward|537 43766 54395 913|$18.30
2021-06-22 04:16:09|Rahim X. Wiggins|545224 505841 5525|$24.65
2021-08-12 20:25:51|Lance K. Hines|5174768247529135|$7.12
2020-06-01 22:53:09|Azalia Dawson|527793 164488 3473|$58.56
2020-05-29 00:08:18|Elliott Wynn|534143 146248 7749|$55.91
2020-07-31 22:06:48|Ahmed Crane|5224 1222 6200 8023|$98.04
2021-01-16 18:22:05|Marny Rosa|514 69500 23019 995|$55.83
2020-09-18 12:25:15|Chester A. Roy|538404 451011 1381|$62.44
2021-06-10 07:23:50|Keelie O. Leblanc|5509 9744 6679 1580|$85.83
2021-04-23 15:57:49|Paula Z. Garner|516 80270 56553 209|$86.58
2020-08-04 00:34:33|Jerome B. Galloway|5178943634052720|$64.54
2021-08-04 10:44:12|Chandler G. Drake|5570 8210 5507 7158|$46.15
2021-07-21 13:36:52|Kirestin K. Merrill|5180072692737141|$27.45
2019-11-07 17:57:51|Hilary Benjamin|527743 452526 8831|$24.84
2021-02-27 12:40:37|Georgia J. Cooke|530425 285165 0654|$4.95
2020-11-21 00:10:59|Larissa Bates|520125 246450 6487|$76.87
2021-07-13 20:06:56|Willa J. Olsen|5410 5389 9158 5425|$60.60
2019-11-14 08:59:59|Tana Hoffman|549424 392384 4656|$81.83
2020-11-24 18:10:25|Lisandra R. Garza|5583843675918434|$49.77
2020-02-15 15:33:12|Chiquita Golden|5498 3246 5833 5833|$32.24
2020-02-12 14:21:37|Devin B. Morrow|538 18825 13173 806|$52.71
2020-04-11 08:56:50|Marcia Sanchez|5323 6776 5802 0106|$94.27
2021-06-19 18:54:47|Cedric Buck|5563279756721757|$22.18
2021-07-24 04:30:24|Cole K. Hall|535 29585 70096 067|$61.26
2020-11-24 18:16:44|Jackson R. Simon|527 81095 75698 660|$62.71
2020-11-16 18:11:56|Griffith Leblanc|550 23321 67116 663|$49.14
2020-10-15 15:59:08|Nigel H. French|522973 503870 2325|$38.27
2020-06-17 02:43:06|Merrill Landry|538508 5935542006|$32.21
