Transaction-date|Name|Credit-Card|Amount
2021-08-16 20:42:08|Erasmus Stanton|5379 8476 1151 0880|$84.29
2021-03-30 15:42:53|Louis O. Vega|5399 0958 9061 3670|$71.61
2021-01-10 05:16:44|Akeem V. Gonzalez|547195 7794712646|$95.95
2021-08-03 01:41:58|Noah Foreman|547231 0134628073|$93.07
2020-10-29 15:23:22|Haviva Hester|5553370711930674|$3.19
2019-11-26 09:55:57|Chaim Z. Myers|529101 200463 6223|$7.48
2020-04-11 04:45:51|Colette D. Hinton|518 19393 12307 183|$73.96
2019-09-06 22:48:27|Kenneth Davenport|526906 7397312764|$72.33
2020-02-29 22:56:16|Blair Weber|5399047815200851|$72.59
2020-12-18 16:27:52|Caesar Witt|5411 8426 3666 5728|$34.06
2020-05-17 11:17:12|Dylan Lester|554219 311496 4148|$43.75
2021-06-26 02:53:19|Jillian T. Harmon|524 28681 84647 920|$83.30
2020-02-19 14:47:51|Keely Wolfe|510 15379 00616 994|$88.55
2020-09-17 04:40:18|Shafira O. Burch|515021 1804523967|$12.58
2020-06-27 04:55:59|Alexis Hartman|537 23033 14926 426|$4.99
2019-12-27 08:17:49|Lester Mann|5285847042280577|$20.71
2021-02-08 14:53:47|Madonna K. Valenzuela|5467 9886 9652 2185|$50.22
2020-04-12 05:45:36|Harding O. Dickson|538 85091 21279 518|$11.15
2020-05-28 04:46:03|Maite I. Maddox|518951 653242 1788|$16.34
2021-06-12 15:39:20|Kalia M. Johnston|5275442103116506|$51.93
2019-11-30 02:38:21|Caleb N. Mccall|551 72681 92756 854|$14.80
2019-11-03 16:11:44|Piper Hall|546 37650 37356 364|$1.76
2020-02-10 04:39:01|Robin A. Farrell|515230 3748232959|$39.09
2019-11-30 04:56:36|Eaton Weaver|5454 7495 0405 6880|$79.27
2021-08-13 20:10:50|Jasper Moon|5160 8281 8054 1186|$49.15
2021-05-12 06:37:10|Neil Sharp|516299 5584862332|$32.23
2020-01-23 16:18:16|Hashim T. Snyder|554420 801765 6878|$2.10
2020-10-08 01:20:44|Bradley F. Curtis|533076 9175827310|$98.28
2019-12-03 17:07:39|Yetta E. Holt|5260305179552010|$35.20
2020-10-22 15:36:12|Ora Duncan|525764 7198383306|$17.60
2020-12-14 08:00:18|Zane E. Dotson|552324 335298 5801|$68.63
2020-08-24 13:08:10|Alvin S. Strickland|538045 281264 5093|$49.35
2019-11-18 21:11:16|Mona Dawson|5531 0850 1137 5373|$35.39
2021-03-17 02:28:55|Genevieve Chavez|5477055521908928|$3.82
2020-01-28 13:28:47|Dieter Rollins|5392989867192337|$87.10
2020-07-28 21:47:08|Caldwell Clayton|518 68379 83167 438|$12.82
2021-01-15 11:30:34|Lucian Herrera|548065 7133952320|$79.35
2020-04-20 07:14:31|Venus Gilmore|543 26186 77165 058|$39.64
2020-02-16 17:44:36|Jordan G. Hicks|544655 098118 7755|$17.40
2020-09-11 18:18:20|Grant H. Frank|554966 5483274707|$57.21
2021-04-24 19:03:10|Ryder Case|514 03486 32561 695|$37.81
2020-11-21 21:45:08|Abel J. Cohen|515467 7192266649|$14.85
2021-07-02 15:00:18|Joshua Dixon|552470 1313244484|$14.47
2020-01-25 07:58:01|Risa M. Hatfield|550828 800587 7938|$48.03
2020-04-13 09:57:01|Rafael Vasquez|515 18127 01608 246|$97.97
2020-03-10 13:27:03|Jillian X. Castro|5429 7092 9384 1845|$32.67
2020-12-25 02:32:38|Ulric W. Alford|532301 404647 1728|$51.73
2020-09-23 05:58:44|Elliott Koch|510479 5120949473|$74.28
2020-02-27 15:17:42|Ignacia B. Howell|5166 2312 2507 5233|$63.87
2020-05-07 21:22:49|Grace Warner|524 90360 48277 697|$3.20
2020-11-25 09:58:59|Rhoda T. Franco|511482 328560 3038|$27.78
2020-04-12 12:45:40|Jordan Neal|552974 946105 5827|$22.30
2020-12-31 04:32:15|Wendy D. West|5204 1719 8282 8263|$76.66
2020-11-19 01:19:14|Yeo Blankenship|5318255483602633|$11.77
2020-07-03 12:16:13|Wilma I. Holt|512 37713 30427 730|$19.54
2019-10-29 20:58:13|Harding Lindsay|5228 4926 6653 9477|$39.36
2021-03-20 17:40:22|Erich Nixon|516380 1855422773|$22.52
2019-10-13 04:27:04|Cameron L. Spears|536610 0179934760|$8.40
2020-07-07 23:23:36|Carissa T. Roberson|555032 7672100039|$66.97
2021-04-03 01:35:21|Alfonso E. Melendez|528101 701159 4259|$4.11
2021-05-16 17:09:55|Adam E. Orr|557421 519269 6465|$23.44
2020-10-13 20:03:46|Christen P. Hutchinson|518524 410109 1031|$26.47
2019-12-23 11:16:11|Bruno H. Underwood|543556 247100 3338|$96.99
2021-05-08 03:17:04|Octavius J. Wong|522376 5047513443|$88.76
2020-11-05 07:06:49|Jeanette Thornton|510200 0738201249|$19.13
2020-06-11 18:27:45|Quinn W. Langley|5286527296373919|$15.94
2021-07-23 06:54:26|Breanna P. York|526788 414925 8224|$79.97
2021-06-14 12:49:22|Summer Simmons|542 59475 53274 661|$6.54
2020-12-24 07:26:17|Ashely Ingram|520054 0319889160|$2.63
2021-04-14 07:07:20|Illana Avery|5217987624669079|$54.62
2020-10-24 15:04:36|Amena Stephens|5317121737301417|$47.62
2020-07-02 13:18:30|Geoffrey C. Brady|5358709291674979|$22.66
2020-12-28 01:27:17|Geraldine S. Dennis|5369601560029646|$61.08
2021-02-02 03:29:39|Harper B. Lopez|556 09391 37710 711|$61.23
2021-07-22 19:59:27|Clarke B. Hatfield|553982 4688911686|$26.55
2019-12-29 19:25:34|Thaddeus V. Howard|5109552530377695|$26.51
2021-06-13 08:14:27|Xenos M. Ayers|5453 4846 1431 3382|$54.98
2020-10-30 19:24:52|Emma E. Houston|5362 6173 2127 8923|$69.84
2021-04-22 02:00:57|Warren Pena|5324 8699 0578 7665|$92.34
2021-02-25 17:12:57|Conan Z. Padilla|551274 2523238266|$51.38
2020-08-18 10:10:38|Fletcher M. Pope|531792 543645 4941|$42.96
2021-05-26 09:23:54|Octavia M. Summers|534 96972 43406 990|$77.78
2020-03-28 17:52:29|Todd H. Sanchez|5112 7134 3131 1184|$31.54
2021-04-09 20:45:53|Cailin Kirk|542605 6204850199|$16.61
2021-02-08 06:56:13|Hayden V. Bishop|5544295892632884|$77.11
2020-12-16 00:06:43|Malachi B. Ingram|5315317533082977|$74.63
2020-03-29 20:09:43|Hector Rodgers|536168 871113 6675|$46.16
2021-08-04 21:21:44|Porter R. Bell|525752 6095438530|$32.95
2021-08-13 10:07:50|Wylie Kaufman|543 43544 95543 940|$9.30
