Transaction-date|Name|Credit-Card|Amount
2019-10-23 11:11:48|Serena P. Avery|557662 6638108709|$44.09
2021-01-18 23:48:48|Eugenia Reed|550624 5887333416|$93.54
2021-01-09 18:45:04|Christopher J. Stanley|5445435662507078|$48.85
2020-03-06 02:38:23|Arthur Bonner|548804 5749506064|$67.94
2021-03-07 05:20:36|Indigo K. Brady|5424 6093 1557 3985|$71.37
2020-06-28 16:01:23|Megan Erickson|524101 376946 6955|$12.18
2019-12-07 08:52:27|Theodore O. Tate|5574121849895742|$17.67
2019-11-19 06:41:08|Yoshi M. Patterson|521264 0507283022|$82.20
2019-12-27 08:42:49|Urielle Yang|5283 3102 5959 1584|$67.41
2020-02-11 09:59:33|Aspen Manning|516018 012176 5882|$68.89
2020-03-04 14:43:17|Nyssa Jennings|552590 8032543463|$74.20
2021-07-09 07:52:05|Igor F. Bowers|5252572507564500|$16.77
2019-12-24 06:59:26|Callum H. Pugh|512924 6340985302|$55.78
2021-06-03 06:02:47|Craig King|5491322102944165|$72.89
2020-03-01 02:24:52|Guinevere Y. Boyer|5568469710260472|$45.30
2020-08-23 22:09:16|Arden I. Walter|521 56404 67557 800|$73.28
2020-11-16 00:48:16|Paul Dixon|5477 2316 8948 1384|$92.50
2020-03-30 08:35:32|Cameron F. Mitchell|523 28617 40838 184|$43.36
2020-05-12 13:43:45|Farrah Buchanan|5527561679424238|$15.22
2021-01-28 04:01:57|Blair Summers|510127 9897968001|$88.65
2021-05-27 18:10:55|Minerva Slater|5302 0983 5891 9585|$64.92
2020-07-26 18:52:57|Kim Gray|536 38868 35966 195|$92.57
2021-03-30 06:46:59|Aurora T. Boyer|529055 2003508585|$38.48
2019-09-03 19:33:02|Matthew Meadows|520937 9784422020|$72.75
2021-02-14 09:17:01|Tatiana Barry|5431 0153 8849 4730|$76.45
2020-02-02 23:29:28|Cadman Wolf|524 40185 30936 944|$50.33
2019-12-08 07:12:07|Eaton Cook|531 89496 13384 738|$88.08
2020-04-19 04:41:15|Zelenia Nolan|529710 786951 9334|$81.10
2021-06-13 05:29:42|Dorothy Foster|513078 998940 1302|$99.84
2020-05-14 00:08:20|Samuel Kelly|527 60540 34855 000|$57.56
2019-12-26 15:11:35|Thane K. Munoz|549261 4841588876|$78.67
2020-01-01 17:55:58|Abel Wall|5577 0257 0009 8881|$28.52
