Transaction-date|Name|Credit-Card|Amount
2020-04-22 13:25:31|Wayne Pennington|5544384121755169|$26.95
2020-01-18 00:20:27|Colby Dale|5516188777675884|$66.35
2021-03-29 20:14:55|Mufutau A. Navarro|555270 5368056201|$94.55
2021-07-07 12:12:41|Aiko D. Goff|538201 2209365719|$2.68
2020-09-01 18:31:16|Lisandra U. Meyers|5159270305890649|$61.52
2020-04-15 22:10:55|Blossom Molina|5409 0651 9251 5061|$83.28
2020-08-28 08:51:21|Patricia Y. Tyler|549490 725933 5584|$5.73
2019-10-05 22:44:24|Len Y. Solomon|5255 6124 2051 8014|$22.91
2021-06-20 20:17:57|Samuel Church|534718 2280276897|$35.63
2019-09-21 15:17:53|Chandler Dominguez|548881 087158 0827|$89.41
2021-08-06 23:57:20|Keaton X. Burch|5116 6779 3740 3280|$47.14
2021-06-30 13:53:54|Roary E. Lewis|5331672056903466|$66.32
2020-09-18 15:27:56|Peter U. Robertson|552445 925324 1222|$80.62
2020-04-14 05:23:33|Bevis F. Ware|526077 235715 7336|$62.36
2021-01-11 05:11:19|Carlos Snider|521270 479380 8635|$69.72
2021-07-30 10:49:18|Kamal F. Perry|5442047147542035|$66.40
2020-04-30 08:23:49|Cheyenne Michael|522 55730 30671 246|$56.12
2021-02-08 01:27:37|Avram A. Branch|545193 999964 9801|$41.18
2020-05-06 07:26:24|Pandora Hooper|527596 204635 0060|$28.33
2020-06-02 18:41:43|Rhea Vasquez|550766 7689009929|$7.88
2020-01-23 11:34:58|Rhonda F. Dominguez|510894 0213185496|$6.59
2020-07-18 13:17:56|Reagan L. Montoya|5297 9450 5658 6529|$49.73
2019-10-08 22:11:17|Fritz V. Hudson|522 76137 18036 482|$95.87
2019-11-22 20:49:19|Michelle Myers|551 53232 29172 492|$51.86
2020-02-15 05:35:01|Jorden R. Mckenzie|5235192805097772|$63.70
2020-07-28 06:28:50|Lysandra Ortiz|543955 686133 5249|$19.40
2020-11-13 19:06:10|Briar I. Turner|5515660986019535|$77.72
2020-11-05 15:09:45|Christine C. Downs|512 95593 29378 947|$0.28
2020-11-25 23:32:45|Haviva D. Rodgers|546791 1264039200|$54.90
2020-02-15 15:24:34|Kaseem R. Hicks|533840 286761 2749|$82.86
2021-04-16 05:56:15|Vanna Brewer|521861 790946 6508|$10.01
2020-06-24 21:27:13|Talon W. Black|5371974091926069|$14.81
2019-11-24 04:17:20|William C. Pollard|519248 905628 9673|$59.87
2021-07-08 21:11:49|Audra Petersen|546289 046430 3357|$53.80
