Transaction-date|Name|Credit-Card|Amount
2021-03-27 07:39:00|William M. Sexton|551 34867 65719 273|$28.88
2020-08-07 21:53:57|Rebekah Y. Barber|530 95225 49860 450|$82.12
2019-09-25 06:37:14|Yoshio Mcconnell|539207 7721770074|$45.29
2021-07-16 13:23:42|Tatum R. Spence|5437 0569 9664 0391|$33.83
2021-01-23 12:52:43|Amery Kelly|510044 9705262944|$71.59
2020-05-15 19:23:51|Jack Kerr|551526 761496 0138|$96.75
2019-10-23 12:52:11|Zenaida K. Perry|534555 944565 4526|$99.20
2020-04-16 20:47:58|Aristotle N. Rutledge|510197 119502 9342|$31.03
2021-04-06 15:48:38|Breanna Mccoy|5272 7132 0476 1249|$7.09
2020-04-10 23:26:18|Gail Hudson|533 86489 41321 752|$57.30
2021-07-10 17:06:55|Cheyenne I. Herman|5370 2945 5950 2513|$50.02
2020-06-02 13:54:32|Dustin Mcfarland|528926 972217 2675|$74.45
2021-06-12 09:05:01|Nolan Heath|533154 225308 0535|$51.61
2021-08-14 13:50:25|Frances Y. Haynes|533231 802659 6423|$53.44
2020-09-11 15:45:46|Zachary I. Tillman|550530 453711 7165|$11.94
2021-03-05 07:12:21|Eaton Z. Daugherty|524433 050113 8891|$50.92
2021-08-20 21:40:21|Baxter Reid|518 61030 77144 290|$90.35
2020-11-15 11:30:32|Illiana Cantrell|554635 526490 4986|$5.86
2019-12-17 22:00:09|Harding Mcbride|553856 4649468035|$59.27
2020-08-15 20:40:42|Hope C. Rojas|523576 1695679442|$60.66
2021-04-28 04:38:56|Riley Rogers|535 45406 34241 000|$17.47
2019-10-09 05:14:36|Fritz Peterson|519265 2578098811|$48.17
2020-05-14 04:53:28|Rigel O. Hines|522224 8254950385|$54.89
2019-08-29 15:35:15|Benjamin Mayo|517 73495 59926 578|$52.68
2019-12-09 17:37:44|Silas X. Aguilar|558646 266368 7864|$93.51
2019-12-27 23:49:20|Venus D. Bridges|515 57303 19189 605|$93.56
2020-09-17 20:43:44|Alfreda Hester|512329 964876 7944|$67.06
2019-12-22 00:45:27|Aladdin B. Pittman|5393 9851 3196 6182|$22.11
2020-09-26 22:33:41|Justine Y. Slater|5297381137995135|$6.71
2020-03-08 18:09:30|Lynn Long|524902 8307258138|$38.44
2019-12-28 11:05:41|Germane H. Austin|554660 3715918018|$69.93
2020-01-22 09:19:53|Hedwig S. Ballard|518 77408 13602 492|$90.92
2020-07-04 17:34:15|Kai W. Henson|5119449652794294|$49.49
2020-11-08 11:51:05|Indigo L. Camacho|524157 836439 4034|$88.41
2020-07-16 06:36:20|Kelsie T. Stephenson|559405 858721 2605|$64.27
2021-02-06 04:09:09|Roary D. Boyer|536 47830 84333 244|$71.83
2020-05-19 15:53:54|Emi Byrd|524885 428319 0396|$87.94
2020-11-27 23:02:11|Barclay X. Oliver|543269 1362460076|$36.28
2020-05-15 22:23:30|Garth Richards|5358 3366 5819 8515|$47.56
2021-07-19 14:10:04|Xandra Anderson|517 68060 70098 816|$51.54
2021-02-27 06:11:23|Anjolie Brennan|5189648196222416|$83.54
2019-09-18 21:48:10|Kirby Johns|531314 0008763927|$90.72
2020-10-16 04:10:03|Baker P. Hart|548 12810 60005 066|$7.65
2019-08-30 03:16:42|Graiden D. Underwood|550299 6860872226|$97.68
2021-06-09 23:18:03|Aline Palmer|5376304820316991|$28.77
2019-11-17 16:22:56|Elton Booker|5575 0176 0089 0832|$55.00
2020-10-14 17:07:30|Hop K. Obrien|556352 4327996192|$5.25
2020-11-10 20:51:29|Christopher B. Burch|5219 2662 4742 4933|$83.64
2021-05-08 03:48:27|Nash V. Campos|5496025718193912|$56.17
2019-11-07 08:59:05|Halee Valentine|513641 026588 4087|$93.55
2020-06-11 15:33:08|Quin Cummings|5350 4680 1521 7411|$95.52
2021-05-19 22:41:25|Xenos Kerr|559046 3323128566|$87.70
2020-10-29 11:53:30|Courtney Salazar|533722 6206428074|$31.27
2021-04-03 07:25:30|Sybil Hampton|532 44811 13192 074|$85.87
2020-10-07 20:55:32|Nomlanga P. Dodson|5522 8497 7675 0794|$23.70
2021-04-10 11:55:26|Gareth Compton|540400 360748 0659|$40.62
2021-02-06 19:54:29|Mason F. Mccall|521588 945123 9483|$38.05
2019-11-02 03:14:30|Myles Fischer|519629 483182 6310|$43.32
2020-01-06 08:08:18|Xavier V. Curry|528 96101 91384 285|$29.75
2020-04-11 22:47:35|Jocelyn Perez|545863 920299 1080|$42.33
2020-11-22 22:53:05|Tatiana X. Reese|545 21078 06253 618|$17.24
2020-02-23 01:52:13|Jelani O. Dennis|535 60984 25946 103|$63.87
2020-10-24 22:43:12|Keegan Chavez|5166 4891 8729 9130|$49.87
2021-08-13 11:24:36|Oren L. Yang|539348 5845116646|$67.33
2021-01-27 11:35:33|Guinevere Cleveland|5327878746593023|$56.99
2020-07-20 05:59:33|Nash R. Collins|539182 2173250567|$65.54
2020-09-22 05:57:34|Hamilton R. Copeland|516903 9735050894|$91.13
2021-03-05 22:31:45|Vernon Q. Klein|536459 642286 6737|$40.10
2019-09-03 00:22:38|Kato P. Porter|5390 1262 6159 8122|$46.27
2019-11-08 20:01:34|Chandler Decker|536699 2500813139|$65.44
2020-01-29 11:01:59|Alvin Landry|513 57144 87844 360|$39.88
2019-11-24 07:29:26|Ciara T. Carey|533743 437077 5177|$5.79
2020-03-29 01:56:01|Basil Jacobson|5578 5282 4316 2329|$69.50
2020-05-16 07:40:10|Cullen Chaney|5477165638099634|$57.35
2019-09-24 01:16:27|Ivana A. Price|541702 7310499362|$75.82
2019-10-29 21:49:35|Sylvester M. Rose|5476499587685478|$50.20
2021-04-21 16:51:19|Kasper Byers|5341 1070 6321 6295|$62.39
2019-11-12 08:06:53|Walter W. Lott|551 22563 04084 922|$13.40
2020-03-21 15:24:09|Keaton D. Rowland|544 11022 92190 261|$81.19
2021-05-31 07:59:35|Vernon Atkinson|5150153550651800|$45.04
2020-06-01 15:30:41|Tanek Montgomery|5488 6192 2151 3622|$46.37
2020-03-01 05:00:00|Gannon D. Dalton|5293 6241 9558 3143|$85.65
2020-07-04 18:22:45|Jackson Conway|5138067572041765|$6.49
2019-10-20 08:24:52|Iris House|5283 5468 0038 0981|$6.39
2020-07-23 04:05:07|Destiny Mccullough|5235 9606 0678 2440|$80.04
2021-02-16 09:43:24|September Rasmussen|5261 4573 7898 0283|$59.58
2020-02-15 01:04:18|Quin Bates|532 31193 87011 684|$50.47
2019-11-04 23:20:09|Lewis L. Sanchez|521 29222 86684 723|$78.10
2021-08-23 04:32:54|Hedley French|549107 4734139355|$8.69
2020-01-11 11:36:58|Aladdin L. Woods|5182 7182 6435 5633|$67.29
2021-08-20 15:58:07|Tad W. Foley|549840 2624839193|$20.67
2021-08-05 01:28:03|Cherokee Q. Horton|541025 3298723592|$26.43
2021-04-21 03:06:04|Sopoline A. Morton|5462 1260 7694 5339|$13.93
2019-12-29 12:42:38|Sophia E. Dunn|549800 554808 2749|$65.27
2019-11-14 02:26:55|Jayme J. Orr|5523230887176766|$56.52
2020-06-17 04:03:47|Adria Noble|5174 8650 3916 0739|$15.40
2020-04-26 10:57:09|Zeus Watts|5158966901787243|$90.98
2020-09-26 22:34:42|Hop J. Chen|537677 923015 3391|$33.83
2019-10-18 20:08:34|Kiara K. Perry|5522048440092986|$0.18
2021-02-11 00:37:27|Amelia Richard|5233453192732492|$78.57
