Transaction-date|Name|Credit-Card|Amount
2021-04-24 10:29:20|Laurel L. Holder|5329 5826 2064 7115|$11.75
2020-06-02 13:44:45|Lunea Kramer|5398 4421 6765 3693|$21.23
2020-11-02 01:12:26|Ashton V. Sosa|5175 4058 6282 0254|$58.27
2021-03-26 21:25:47|Michael Ramsey|5453 6072 3464 0467|$41.95
2020-09-17 04:31:12|Tanya Mccormick|532338 8570264307|$56.07
2021-02-26 13:54:39|Graham Carver|5394 9521 4930 4078|$50.10
2021-03-10 12:51:51|Gannon Stephens|551 02405 68309 771|$36.52
2020-12-21 07:05:29|Colt Estes|546152 3433884808|$24.10
2021-03-02 17:50:42|Virginia Crane|519 02901 57684 669|$98.46
2019-10-23 08:04:22|Melinda J. Duran|528835 4468975126|$11.95
2020-03-04 19:20:11|Nichole Foster|5112 7963 1620 1372|$84.81
2020-10-30 09:13:22|Xanthus G. Campos|5396 3886 3303 4095|$51.93
2020-01-13 02:32:52|Naida F. England|5441700792714066|$83.87
2019-09-24 12:55:44|Vivien V. Parsons|523 34803 68565 117|$69.35
2020-01-28 16:43:12|Philip Reilly|536 81323 42651 458|$8.32
2020-01-17 06:35:12|Macy S. Carson|5546278918807084|$96.93
2019-09-07 03:42:29|Oliver L. Hartman|5181224244052789|$70.63
2021-05-27 12:05:44|Ginger S. Hampton|5259508287158140|$17.45
2019-12-25 03:17:24|Morgan F. Santos|547383 016917 1995|$92.32
2021-05-23 09:54:12|Kylynn K. Jarvis|552459 698339 6725|$10.75
2021-03-12 22:44:36|Preston Shannon|5200 2189 0736 7077|$61.12
2020-06-03 14:04:21|Melinda Cardenas|534002 4010442901|$64.36
2021-01-16 08:45:55|Justina W. Marquez|514137 8858963605|$10.46
2020-02-26 22:56:16|Orla S. Jenkins|5424660722582341|$1.27
2020-01-07 12:56:10|Molly Ayala|551 96222 05260 361|$86.49
2021-01-16 06:12:40|Daquan N. Haley|5391012489614330|$92.32
2021-04-15 09:43:42|Oleg R. Blair|540869 494209 1080|$69.59
2021-06-16 03:08:31|Phillip Pugh|530 47657 75620 719|$8.85
2021-07-16 14:12:04|Orlando Hull|5356623715076509|$85.36
2020-09-03 19:14:26|Sydnee O. Dickson|544 57562 78756 233|$99.36
2019-09-01 21:38:54|Ira I. Manning|548 44592 28535 607|$72.91
2019-10-23 18:50:50|Garth J. King|548 53439 32760 751|$42.17
2020-02-01 13:35:48|Quon Norman|511841 122903 6857|$61.62
2020-04-12 00:20:14|Graham Goodwin|510520 6195274135|$46.60
2019-09-12 09:26:04|Marny H. Barron|520 93116 21808 384|$59.50
2020-03-22 02:44:17|Vincent M. Marquez|515416 201059 1957|$88.67
2020-02-06 20:20:17|Jescie Ward|5132 0953 3977 9704|$62.32
2021-08-17 04:18:14|Bruce H. Wolfe|5115343867431129|$17.61
2020-04-25 19:30:55|Kendall N. Tucker|539046 7836090363|$9.63
2021-08-17 05:41:55|Josiah Cross|5369589370556959|$37.85
2020-04-17 19:38:05|Dane Sykes|5570940302108317|$55.41
2020-07-09 20:05:08|Jessica S. Reyes|512907 0745324978|$84.59
2019-12-05 14:47:55|Kelsie F. Sloan|542 01662 99673 137|$94.73
2021-08-07 11:33:01|Lucas Gross|544 09701 17646 829|$20.94
2020-09-13 06:18:11|Levi O. Byrd|551407 9618951463|$74.09
2020-01-09 21:48:23|Vanna Carlson|538 89296 07018 596|$46.66
2021-07-31 02:32:27|Maia P. Pruitt|5162804305154310|$51.11
2021-02-06 00:40:28|Ezekiel F. Miles|514 41412 84395 058|$40.48
2021-06-14 23:55:53|Howard I. Delacruz|511 23303 35911 512|$4.57
2020-08-05 13:37:22|Carla C. Wynn|545 27464 23910 546|$80.54
2019-12-31 02:44:21|Briar L. Wynn|512979 094537 4339|$50.38
2020-01-25 01:49:43|Riley Keller|5258 9458 2939 5080|$93.84
2019-12-24 21:25:22|Shafira B. Case|5118 6152 0762 3920|$33.55
2021-05-29 01:51:48|Carl K. Hensley|540281 458560 2888|$53.52
2020-05-09 20:33:33|Adena Newton|555 66738 92460 214|$46.44
2019-11-14 02:07:02|Aline Woods|530 38987 42042 971|$50.62
2020-02-07 16:03:49|Malik Lynch|5344724910516425|$86.68
2021-02-19 09:07:30|Alice S. Graves|5363 9156 6875 9623|$16.06
2020-06-25 10:38:48|Valentine Davis|511261 656104 5995|$40.47
2021-01-21 23:40:37|Garrison Floyd|5403 2916 2303 7170|$34.90
2021-05-09 07:06:36|Kelly W. Shaw|557285 9149537264|$75.31
2020-09-01 15:38:07|Charde E. Kennedy|512112 115243 0150|$53.93
2019-10-10 13:41:39|Felicia Mosley|510562 696496 6761|$81.42
2019-12-17 19:02:13|Rae Mosley|5428753136092936|$61.84
2021-02-04 14:52:10|Ariana B. Bird|524562 890762 9069|$78.07
2020-10-10 05:06:56|Dexter B. Gardner|513040 8857263377|$18.05
2020-08-07 20:37:28|Josiah Robertson|5349 8310 7514 8947|$95.41
2020-11-09 04:40:22|Amaya Porter|5183418616323483|$88.32
2020-07-18 00:53:43|Ursula Nixon|5302 8468 9415 4152|$74.16
2020-04-20 19:54:05|Eric O. Graham|5438 2324 7901 2098|$5.30
