Transaction-date|Name|Credit-Card|Amount
2021-04-12 20:38:46|Hedda Love|5428511966334400|$26.78
2020-11-05 03:05:51|Cain N. Kirby|5437102577334622|$79.04
2019-09-27 19:32:19|Isabella G. Dillon|537540 5146696023|$85.14
2021-08-10 15:28:29|Camille F. Knapp|551039 9396677807|$93.71
2020-05-13 11:29:00|Jonah Foley|529 47149 58843 393|$92.14
2020-10-16 17:03:51|Malachi Lancaster|5132 8760 6523 4281|$35.81
2019-12-03 02:40:32|Suki N. Mendoza|5213299841167596|$36.89
2021-01-12 17:50:42|Maisie Barber|532946 122883 2223|$40.52
2020-03-13 15:16:59|Chava Macias|555421 8655703319|$40.85
2020-06-25 19:15:40|Orlando Frederick|555253 633997 8011|$67.04
2021-04-30 02:48:43|Meghan Knox|531519 9247508228|$99.28
2021-06-02 01:21:32|Noble Cochran|510131 8848838366|$26.80
2019-10-16 13:38:26|Lev G. Black|528153 361806 0767|$69.78
2021-07-10 10:44:27|Quinn B. Wyatt|525245 5156161036|$25.70
2020-02-25 20:02:51|Acton Head|513 44987 61347 008|$55.92
2021-05-01 20:11:39|Lillian Wynn|5598718365332703|$16.84
2020-07-16 09:23:21|Simon Welch|527608 7575833317|$99.39
2020-04-03 06:32:06|Chantale P. Kent|5150778113823049|$89.99
2020-08-28 05:51:09|Wang K. Travis|5237471523192935|$73.29
2020-12-02 07:13:29|Neville L. Powell|5138557725625316|$6.91
2021-02-09 14:56:32|Aidan Mills|521918 579180 4425|$70.53
2021-05-19 19:03:04|Ferdinand Silva|551317 623118 8530|$28.26
2019-10-18 17:29:54|Magee W. Ramirez|518 89398 66775 572|$4.64
2019-11-18 08:51:43|Abraham X. Holcomb|5347991232755737|$60.93
2021-01-29 15:32:09|Colin Juarez|551 31166 56950 519|$67.46
2020-09-06 17:59:13|Kennedy D. Carney|5525226971407982|$40.51
2019-11-20 11:31:36|Dominic K. Snider|514 40093 45238 395|$90.68
2021-01-06 01:40:52|Dawn Ball|545752 871650 6974|$69.43
2020-02-05 10:29:44|Mannix Perez|539415 794740 2971|$21.54
2020-04-15 22:18:15|Chantale F. Baldwin|534528 2864903338|$5.76
2020-02-25 03:47:58|Damian Pennington|512 78279 30762 136|$11.30
2019-12-01 16:21:42|Georgia P. Walton|5198 3088 0459 0105|$47.17
2021-08-18 21:21:41|Jonas C. Whitney|511759 098629 8080|$14.39
2019-12-15 09:09:46|Joshua L. Patrick|5464 2769 2818 2066|$12.31
2020-06-03 23:53:35|Reed A. Hodge|542 35622 02898 174|$46.62
2021-01-14 16:49:23|Oprah E. Solomon|534720 1117631700|$15.87
2021-03-08 00:46:09|Stephen A. Williamson|539207 4843421835|$28.43
2019-10-03 21:25:13|Christen X. Crane|5429 2614 5076 8668|$22.47
2019-10-17 22:36:41|Chaney Rivera|520792 057932 0184|$92.06
2019-10-07 14:36:58|Jaden Z. Rojas|521 15095 67456 375|$84.77
2021-07-06 03:22:31|Lionel Maddox|556111 7492998176|$97.13
2019-10-31 18:31:01|Uriel J. Nichols|541311 1775646958|$63.33
2021-01-05 07:14:02|Cameron O. Ortiz|5453972469821830|$24.17
2021-05-17 23:14:11|Christine W. Gallegos|511502 373396 1257|$0.69
2019-11-22 11:55:08|Stuart U. Bruce|5578 2595 9636 2254|$67.05
2020-08-28 06:45:24|Denton Delgado|5193 7764 5006 1222|$30.48
2020-04-07 02:48:27|Anastasia Mcclain|522564 9283625798|$75.07
2020-07-10 03:32:59|Buffy X. Nelson|5118586728901808|$66.65
2021-06-19 00:01:08|Ivan Luna|541905 7225636343|$46.53
2020-06-06 14:03:14|Leandra Q. Massey|510553 8196720595|$50.99
2019-10-20 17:03:13|Audra V. Sullivan|5397 4490 8560 4733|$28.13
2020-11-14 06:13:40|Maggy Wiley|5141537237275235|$65.51
2020-04-22 23:03:58|Ralph Bolton|5189 7938 9535 4456|$47.17
2019-09-19 01:24:25|Coby Sheppard|521394 1993872941|$35.52
2021-06-16 12:19:25|Colleen D. Shaw|5462 0074 7833 2997|$36.72
2021-05-06 09:42:41|Hermione Roach|559235 790811 9974|$60.59
2021-03-01 18:00:25|Berk Gregory|549700 721178 6797|$51.48
2020-01-09 11:50:23|Zachary Horne|521 68757 19348 546|$98.05
2020-07-24 09:45:17|Bo G. Hutchinson|5490 6860 8590 6354|$26.07
2020-10-05 00:32:32|Nehru Joseph|556796 0100945137|$3.06
2020-09-16 06:16:35|Chase Y. Roberts|552 64866 88394 662|$87.53
2020-06-12 12:54:01|Selma Z. Harmon|5564989544121545|$58.30
2020-04-19 22:40:10|Holly J. Lindsay|5250 0846 0466 1868|$15.03
2019-11-04 09:44:42|Declan Hammond|5170797267311375|$54.43
2021-05-04 00:50:18|Hannah Bell|542918 0737761488|$27.40
2019-09-17 02:15:43|Jin Walls|521147 451529 3562|$57.33
2020-04-24 22:49:27|Leonard L. Ingram|559 93298 88107 397|$2.24
2020-04-25 03:46:16|Kennedy Mayer|5125674949872494|$79.56
2019-10-06 18:26:41|Callum Mullins|5166248631019621|$61.03
2020-12-11 13:58:40|Kaseem O. Johnson|5456 2662 0888 9621|$27.12
2020-01-29 07:29:11|Knox Y. Mcgee|549754 544505 2973|$60.51
2020-10-16 14:36:11|Christopher W. Medina|5449 9306 0215 0423|$90.36
2020-02-23 14:54:49|Griffith Y. Perkins|525091 3486645690|$88.05
2021-06-04 18:06:34|Elliott Fox|559420 592463 8972|$46.65
2021-07-19 14:29:49|Philip Wade|5288 5390 7006 6922|$20.70
2019-10-28 15:44:00|Ross I. Madden|550846 750057 1622|$50.27
2021-06-30 05:26:21|Fiona U. Hardin|5447 9948 9673 6091|$60.43
2020-01-01 21:53:56|Xander V. Williams|525604 057864 9812|$55.37
2021-04-28 08:03:08|Denton Moore|526201 333313 3986|$68.39
2020-04-04 20:46:25|Plato D. Landry|548988 134256 9383|$23.80
2021-08-18 18:30:06|Dominic Goodwin|5370115761417671|$95.18
2020-09-25 13:18:47|Kiayada Macdonald|518540 118924 9408|$90.35
2020-01-07 17:55:15|Aileen Key|544044 322255 0427|$92.58
2019-11-04 04:09:05|Lacota Bell|514304 6171518095|$60.78
2020-08-21 13:49:28|Lael Fernandez|539 30049 78402 143|$19.29
2020-08-28 04:31:13|Adara Holt|5368 8005 7499 4354|$1.03
2019-09-05 13:42:13|Damian F. Murphy|528 40369 11791 465|$2.75
2020-09-26 01:04:05|Jonah Foster|518 83966 88925 739|$10.33
2019-09-28 13:31:24|Anthony E. Massey|536271 371392 0188|$80.82
2020-04-12 11:12:33|Clark Z. Landry|556008 703606 0851|$48.87
2020-10-26 03:13:29|Victoria Y. Yang|5430350147132615|$88.24
2021-02-13 16:37:48|Russell Santos|5557444718916824|$83.00
2020-11-29 02:58:01|Yasir Wilkins|549304 9189456213|$48.47
2021-06-07 01:08:27|Rhiannon Weaver|545571 6655179620|$74.65
2021-05-31 10:32:14|Harding U. Riley|5128986220706812|$47.37
2020-05-31 23:16:19|Hamish Mcdonald|5430 8245 8865 6696|$2.74
2020-06-06 19:13:13|Ian N. Mcbride|534775 4353524518|$98.33
2021-06-24 18:05:22|Carolyn Skinner|5157 8836 7730 8297|$13.11
2020-01-12 19:19:49|Christine Stokes|5348 4090 9807 8838|$19.20
2019-09-24 13:48:34|Clayton Davenport|518575 651235 7628|$17.42
