Transaction-date|Name|Credit-Card|Amount
2020-09-21 02:04:44|Rana Rogers|5586 4210 0780 9311|$78.98
2019-10-20 18:18:15|Wesley D. Simpson|521 37907 47638 649|$11.29
2021-03-21 14:10:07|Odysseus S. Norman|525 41517 32066 702|$58.87
2021-02-07 16:41:31|Paki Z. Walters|512855 615265 9253|$48.70
2020-08-17 16:20:07|Erica Vance|512 06485 16043 924|$18.31
2020-02-17 21:17:36|Nomlanga Stafford|5363476586290233|$99.08
2020-11-09 02:12:08|Amery M. Cooley|525034 0536382704|$34.11
2020-12-11 15:07:31|Barry V. Mcclure|5557 6002 5446 9086|$32.08
2021-02-02 04:20:02|Thor Harrell|5468049523146539|$48.28
2021-04-25 15:17:44|Jena Q. Bridges|5264 4323 4138 6113|$5.30
2020-07-15 11:41:55|Hashim Z. Wood|527 39603 91790 122|$30.10
2019-11-29 07:59:11|Brittany Cleveland|5435 8071 2289 4761|$46.80
2019-11-06 17:09:42|Harper S. Medina|535742 3260589454|$71.85
2019-10-25 21:51:59|Jelani J. Caldwell|5201 7024 4143 9152|$44.04
2019-11-19 20:14:37|Camilla D. Velazquez|545575 370296 0173|$84.88
2020-07-29 13:03:48|Holmes E. Pate|5364174105012001|$61.87
2020-09-29 06:32:13|Wallace Barnett|518 71818 46647 396|$6.98
2019-09-16 10:09:01|Cullen Carr|523778 6794887842|$95.96
2021-07-01 01:32:38|Ulla B. Davis|557 68352 19868 348|$13.61
2021-08-18 21:54:46|Dawn Casey|5586 6956 4021 2278|$27.81
2019-09-24 09:36:24|Eric B. Watson|5462064866361245|$95.29
2021-01-07 03:50:18|Anjolie Parsons|517573 7460847507|$26.58
2019-10-09 10:13:24|Brock Hartman|523 34987 36903 380|$2.44
2020-05-22 06:40:57|Beck Doyle|551 70830 25207 060|$90.73
2020-05-23 15:47:54|Marshall Hensley|541800 376160 2852|$81.18
2021-02-27 10:34:01|Adena Schmidt|5535 3173 1006 4002|$76.12
2020-11-28 00:55:31|Rhona D. Ryan|5468 2280 6769 8572|$97.79
2020-11-19 14:05:31|Rinah H. Wallace|548729 934785 8606|$67.24
2019-09-23 18:21:53|Richard F. Ray|535 41748 70921 040|$99.66
2019-09-13 06:24:10|Christine Preston|5343 4343 5368 3713|$23.45
2021-05-09 00:12:05|Cailin I. Weeks|5414695640084568|$81.43
2021-08-12 10:31:54|Veronica O. Watkins|531 89735 71510 811|$21.90
2020-05-01 01:26:22|Jena D. David|538126 5607731749|$85.07
2019-10-23 23:38:49|Raya X. Davenport|5212 3148 4241 5562|$59.59
2019-12-17 18:32:59|Ezra E. Ashley|547518 6029484195|$6.14
2020-11-03 20:35:53|Grace Blair|531527 763323 7048|$20.29
2020-01-18 16:55:15|Dante E. Love|549 12627 87889 428|$3.61
2020-11-15 19:05:58|Gabriel G. Miranda|516757 1738232774|$93.13
2020-05-03 09:32:20|Giacomo T. Avery|5408009160597116|$51.08
2020-07-01 02:42:06|Boris V. Talley|540 74355 03862 043|$7.75
2020-09-07 05:08:39|James Ross|538516 384219 5273|$51.89
2019-09-13 20:41:55|Rosalyn Keller|5108248202159989|$19.23
2019-10-23 17:11:57|Jada Hendricks|532022 908621 6832|$20.83
2020-01-15 14:57:37|James N. Vinson|5320391823098186|$1.68
2019-08-29 21:46:48|Kadeem Barr|5130269135045964|$66.52
2020-01-01 01:39:48|India O. Erickson|5538 8549 5833 3304|$32.65
2021-01-20 09:31:05|Giacomo England|5342367110863825|$8.47
2019-11-08 10:48:09|Alvin William|5180884664458658|$74.45
2020-04-18 13:26:47|Berk I. Tucker|546 96393 99954 740|$2.13
2021-03-28 13:14:03|Lenore Hawkins|557329 6994583631|$32.61
2021-08-12 11:06:27|Dolan Patton|526793 6809447552|$58.11
2020-10-17 03:33:31|Ivan H. Lane|559 34713 06330 585|$71.08
2020-03-25 02:17:27|Vera Reilly|5154 4292 2005 6687|$89.76
2021-07-16 16:06:41|Luke Bowman|535509 717759 9855|$7.98
2019-11-01 09:01:20|Kermit Brennan|510145 552997 6824|$76.39
2019-09-18 02:09:00|Irma Wilder|542014 0852127823|$14.50
2021-06-05 00:40:31|Tarik T. Sellers|521892 014040 2534|$69.16
2021-01-15 06:59:11|Macey M. Booth|523009 8072045441|$96.05
2021-04-17 13:48:24|Raven Talley|539623 293376 7758|$82.13
2020-08-06 04:16:06|Isaiah Holden|511531 056534 0670|$61.56
2021-07-08 01:54:42|Raja G. Chapman|546278 142603 5924|$61.87
2019-10-19 19:44:51|Hadley Aguilar|524 30445 94485 827|$4.00
2021-03-31 05:10:11|Daria F. Huffman|5118 0207 6114 1585|$68.89
2021-06-11 22:11:05|Amela Mercado|545819 034126 4997|$44.82
2019-11-24 12:24:17|Lane Briggs|533 76973 72532 032|$88.68
2020-09-05 04:48:47|Tucker Buck|525448 515529 1201|$57.48
2019-09-17 12:36:12|Hyatt Potter|5201 2949 2832 5369|$5.27
2021-07-05 19:03:44|Ashton Foreman|5236 7352 6855 6145|$19.04
2020-08-03 00:58:34|Rana A. Mcfadden|514552 728118 2532|$3.13
2020-06-05 08:20:14|Ria Ayers|522150 3764913591|$38.51
2019-09-12 05:14:24|Josiah Berg|553 07602 52363 699|$88.30
2020-05-12 05:02:57|Alice Pate|5129 5797 9954 8407|$94.20
2019-11-03 05:42:47|Gareth Mullins|5212 7360 2412 7161|$32.02
2020-10-17 09:53:38|Madeson Prince|5589130994513375|$7.47
2021-07-07 10:45:23|Samantha Newman|5356626893236019|$16.07
2020-10-22 01:52:46|Brenna Harding|545795 8176053250|$42.64
2021-07-16 21:13:40|Stephen Mccormick|5115639185884596|$42.67
2019-11-13 06:29:37|Lysandra F. Kennedy|556663 6694116175|$17.84
2020-08-23 13:55:07|Evan G. Dorsey|5340682495470984|$31.66
2020-04-04 05:21:29|Kirby Morse|537915 5767173358|$66.66
2021-03-30 14:44:59|Jordan S. English|534 85888 05809 260|$20.82
2020-01-04 05:49:59|Tamara Shields|5136734942596131|$21.42
2019-09-26 02:31:40|Dillon R. Harrington|5465 5119 1449 7311|$95.15
2020-05-21 08:21:49|Ria B. Forbes|543576 714178 5038|$70.08
2021-07-03 20:04:57|Virginia S. Romero|5552 2377 9116 8767|$33.58
2020-12-23 03:13:22|Oprah Byrd|5162 5295 9270 1800|$83.67
2021-06-09 17:27:41|Uriel A. Lane|5549 7917 8763 4550|$63.48
2021-07-06 11:43:16|Geoffrey Day|5458 5520 8087 9964|$21.37
2021-03-13 16:29:48|Jena Holmes|5434177843391765|$91.90
2020-02-20 09:19:06|Giselle P. Guy|512 38528 92714 366|$9.38
2021-07-07 11:13:53|Shelley X. Briggs|5492255345482180|$94.92
2020-08-11 05:57:19|Athena Johns|538 43648 50403 804|$17.47
2020-05-25 11:37:06|Wade P. Wiley|5484 3744 2359 2461|$39.23
2021-03-16 05:19:00|Hadley Q. Cameron|544516 707245 2062|$26.86
2020-03-05 16:45:40|Fulton L. Flowers|5437452605673347|$48.58
2021-05-13 05:15:48|Lynn K. Hooper|5380066095551081|$87.29
2021-01-17 14:04:31|Bianca Kerr|536 59352 23704 714|$73.80
2021-02-12 14:02:13|Philip King|5109980561563927|$79.45
2020-05-14 00:25:17|Mohammad C. Rhodes|556446 3796981592|$73.28
2021-06-05 07:44:22|Allistair Tucker|5396 1344 3245 4575|$96.75
