Transaction-date|Name|Credit-Card|Amount
2021-06-12 14:39:40|Kendall D. Wolfe|514 86669 01525 261|$37.95
2019-12-25 23:25:06|Mari F. Oliver|524 08397 10118 191|$59.02
2020-12-12 19:28:22|Ulysses G. Hinton|5199 6373 2657 1311|$21.11
2021-04-10 13:59:05|Farrah U. Cochran|5415 2169 5742 8089|$31.30
2020-12-05 20:54:53|Jolie Cantrell|5472301435873344|$22.83
2020-11-24 21:16:00|Ulric Floyd|538397 1951240942|$64.71
2021-07-21 18:45:00|Wyatt W. Becker|5463094456685165|$28.85
2021-07-25 23:19:49|Wayne Heath|5328167094478709|$6.32
2020-05-28 18:18:17|Elliott Duffy|5277 9384 1738 2104|$75.16
2020-04-03 12:24:27|Adele U. Gallegos|5569343503824076|$36.67
2019-11-21 12:08:37|Charles Q. Ward|5209381170735635|$81.38
2021-05-20 06:48:24|Graiden I. Fry|557 75589 79070 843|$61.27
2021-01-29 11:53:47|Hilda G. Griffin|523219 3980847604|$77.94
2021-08-14 13:24:11|Phelan P. Pena|530 92757 62229 958|$98.15
2021-03-22 07:28:02|Brooke G. Love|5227363414436780|$29.89
2020-05-23 14:11:36|Palmer P. Villarreal|520 34057 77778 494|$17.11
2020-01-24 17:28:43|Jeremy Summers|543679 871567 6112|$80.27
2021-02-01 05:01:15|Maxwell N. Ramirez|510 53035 76872 619|$90.47
2020-03-16 15:55:13|Basia Lynn|552 46528 49940 154|$98.23
2020-06-29 14:26:26|Stewart Warren|542557 3234172775|$77.66
2021-04-12 22:02:43|Kenneth Solis|5216648495082401|$97.06
2019-12-14 02:56:59|Brynn S. Mathews|5282 1777 5600 0976|$67.27
2021-07-13 03:06:09|Guy Harrell|5590176084014185|$65.87
2021-03-31 03:55:23|Denton Hartman|539510 575476 2986|$40.37
2021-01-29 19:25:42|Cecilia Gates|5192 7712 1502 9995|$2.15
2021-04-02 02:57:45|Gisela Roth|559979 537876 0061|$6.40
2020-06-12 11:30:38|Abel Keith|534 69893 27276 776|$89.19
2020-12-05 11:29:25|Gloria Beck|518545 880431 4918|$82.91
2021-07-27 03:15:13|Channing Sims|510954 662725 6366|$38.55
2020-06-25 08:15:46|Paul Aguilar|550823 9363767328|$55.50
2021-06-02 16:08:22|Hammett Norris|545 00360 19643 806|$9.85
2020-07-04 08:25:56|Indigo Vang|5209247755516999|$53.62
2021-04-22 23:03:36|Cora Britt|534 67908 32181 414|$70.88
2021-07-27 23:19:09|Rajah C. Key|511558 2210350649|$83.47
2019-11-20 01:26:21|Asher N. Fulton|5374 8298 7447 3191|$76.60
2020-08-30 03:15:09|Kirk H. Gillespie|5455 1726 5545 4425|$34.35
2019-12-27 16:09:29|Carolyn Gilliam|532959 0220916483|$25.55
2021-02-24 12:52:08|Eaton J. Lawson|550 13666 29170 182|$44.81
2020-07-08 22:02:56|Zephr Larson|552422 6988835697|$66.75
2021-05-30 18:00:19|Griffith Gonzales|526 98759 18240 821|$89.23
2021-02-14 19:59:02|Anthony K. Brown|520729 4022716863|$83.77
2020-09-10 20:16:58|Benjamin Clemons|519 46422 36655 043|$20.34
2020-09-03 17:44:50|Ocean Randall|541 01706 36633 137|$17.76
2020-03-24 05:35:36|Meredith D. Garrison|5521060507242793|$93.03
2021-01-28 17:10:18|Carol F. Conner|5134649450751245|$39.35
2020-04-09 16:00:11|Dean Z. Crane|537 63453 46362 266|$26.79
2020-12-20 12:08:20|Danielle Melton|5214 0264 0408 5272|$68.78
2021-06-07 09:47:22|Marshall Foley|5519854911513888|$25.41
2021-03-08 14:15:12|Nell S. Yates|536750 468836 3040|$58.72
2020-08-23 13:43:26|Adrian Shaffer|521 40432 18584 507|$30.04
2020-08-13 22:10:55|Glenna Chang|5545629323529187|$63.83
2020-01-24 04:20:37|Chloe Cotton|535526 9633971941|$83.64
2021-01-06 04:08:15|Leroy J. Rice|516 76147 58910 356|$89.48
2020-07-14 04:14:13|Daquan Wilkinson|551 60853 50265 325|$31.51
2020-10-21 11:10:56|Illana U. Solis|5298776221920700|$63.67
2020-05-04 13:49:20|Camilla P. Preston|545 92131 08249 065|$74.01
2019-12-07 15:34:41|Kibo Vazquez|5152 2175 9759 9898|$55.50
2020-02-23 23:09:15|James K. Delaney|554 86515 28084 377|$76.20
2019-10-12 07:27:11|Diana Francis|5388820170248613|$22.81
2019-10-14 14:36:28|Gregory Lynn|553 55622 90613 456|$89.38
2019-12-17 09:47:10|Blair Mcmahon|520166 754872 6654|$97.40
2020-10-13 07:17:50|Oscar Weeks|539 67035 90241 592|$90.33
2020-04-23 18:00:33|Phelan Lowery|545419 808081 1948|$24.94
2019-11-18 15:26:44|Erasmus B. Higgins|550385 934938 7647|$34.99
2021-06-21 23:43:38|Ali Z. Bryan|5351281051819746|$89.67
2020-11-16 03:00:40|Akeem Monroe|529 72330 89778 615|$84.13
2021-06-25 00:52:35|Geoffrey Macias|5381153758987700|$79.41
2020-08-16 07:38:28|Tashya Simon|5228242760453277|$4.32
2019-09-22 11:44:34|Winifred P. Stanton|5274553945510184|$65.06
2020-02-21 03:29:22|Declan Savage|557 62427 43076 292|$44.64
2021-06-20 05:29:18|Isadora Byers|553 42828 46141 974|$7.58
2020-11-29 10:58:50|Rebekah Murray|523920 356806 7039|$14.37
2021-02-26 10:58:09|Patrick K. Nguyen|5287842359485727|$50.36
2021-04-20 18:33:14|Ruth G. Davenport|536101 395210 5711|$72.37
